"State Statistics and Loadings"
"Search Criteria:  Reporting year = 2018"

"EPA Region","State","# of Majors in ICIS-NPDES","# of Non-Majors in ICIS-NPDES","# of Majors w/ Pollutant Loadings","# of Non-Majors w/ Pollutant Loadings","% of Majors w/ Pollutant Loadings","% of Non-Majors w/ Pollutant Loadings","Total Pollutant Pounds (lb/yr) for Majors","Total Pollutant Pounds (lb/yr) for Non-Majors","Total Toxic-Weighted Pounds (lb-eq/yr) for Majors","Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors"
"04","TENNESSEE",163,975,162,759,99.38650306748466257668711656441717791411,77.84615384615384615384615384615384615385,1113866788.431345322469202728054181067713,290075176.970678968413184483604465598105,463664.2719857019025350422568260935748767,132671.7572807595518864680805198128096676
"06","TEXAS",733,2505,690,2015,94.13369713506139154160982264665757162347,80.43912175648702594810379241516966067864,21910842203.2891834542576746201085010188,4308405229.410551609369567772433801858208,1704050.2786689560711535575262677101468,897443.6822734688968873497223730208115048
"08","UTAH",43,163,41,84,95.34883720930232558139534883720930232558,51.53374233128834355828220858895705521472,388303160.300019352957199227131638483668,172420230.47091414016327009509561497325,204646.0915155810518704869576462386873318,6535.156109296251972871642066101019887159
"01","VERMONT",34,250,34,135,100,54,12151180.85950641554124922678824545454544,1106056.33042656244239733175171672392788,14908.4079100882037360427813575931818181,2495.68774276315116547639538608108122185
"02","VIRGIN ISLANDS",8,77,8,66,100,85.71428571428571428571428571428571428571,12221169.59252016580883805547656665090523,18840015.26664997281826028965554349444288,1228.571711338250127357725370002385795284,873194.6635909346201270835090389219370724
"03","VIRGINIA",153,1004,141,934,92.15686274509803921568627450980392156863,93.02788844621513944223107569721115537849,316102108.959259583718405410251840909091,157510391.699448546729819998740729884901,111363.7095455114436107949101296690636364,8524.790992694004148434339879799538754585
"10","WASHINGTON",76,382,62,230,81.57894736842105263157894736842105263158,60.2094240837696335078534031413612565445,10821771.83894188267746084348982559311537,3601524.56874874380942670205809259556467,7455.89536822859084230625251035738,2360.212032989095729198348737732237022779
"03","WEST VIRGINIA",93,1891,91,1652,97.84946236559139784946236559139784946237,87.36118455843469063987308302485457429931,1465229921.534098293948540507351338644057,1436341182.604450581713816351033402790997,2527946.46768313080888244315873669288946,1696214.25081375309281405892316930347244
"05","WISCONSIN",125,1151,124,629,99.2,54.64813205907906168549087749782797567333,204378480.708799294188568409574562886472,59139757.76405342560477818214006200436172,80388.8446308086229045635373893119207365,24724.074930452232697363106050268575467
"08","WYOMING",24,770,24,707,100,91.81818181818181818181818181818181818182,56003014.78987984286616477169297726468773,661799564.1286699645045134802809189595,7154.949568955815645848088500125624478662,76225217.43725026533501318222982528795634
